Country,GDP
Afghanistan,1763
Albania,12694
Algeria,13967
Andorra,53245
Angola,5544
Antigua and Barbuda,24463
Argentina,17529
Armenia,9728
Australia,45495
Austria,46873
Azerbaijan,16248
Bahamas,28774
Bahrain,41966
Bangladesh,4139
Barbados,16640
Belarus,18046
Belgium,43517
Belize,7818
Benin,2230
Bhutan,9708
Bolivia,7152
Bosnia and Herzegovina,13120
Botswana,16781
Brazil,14307
Brunei,72376
Bulgaria,20150
Burkina Faso,1808
Burundi,644
Cambodia,4079
Cameroon,3401
Canada,44181
Cape Verde,6911
Central African Republic,794
Chad,1743
Chile,23012
China,17122
Colombia,13630
Comoros,2478
"Congo, Dem. Rep.",838
"Congo, Rep.",5096
Costa Rica,15824
Cote d'Ivoire,3911
Croatia,24525
Cuba,8126
Cyprus,34544
Czech Republic,34143
Denmark,48274
Djibouti,3598
Dominica,10354
Dominican Republic,16446
Ecuador,10215
Egypt,11360
El Salvador,7509
Equatorial Guinea,19220
Eritrea,1391
Estonia,31960
Ethiopia,1897
Fiji,9990
Finland,42383
France,39989
Gabon,16173
Gambia,1568
Georgia,10671
Germany,46173
Ghana,4434
Greece,25703
Grenada,14345
Guatemala,7606
Guinea,2415
Guinea-Bissau,1634
Guyana,7931
Haiti,1639
Holy See,NA
Honduras,4633
"Hong Kong, China",56957
Hungary,29603
Iceland,47861
India,7227
Indonesia,12061
Iran,16089
Iraq,15687
Ireland,72413
Israel,34052
Italy,35816
Jamaica,8308
Japan,39739
Jordan,8352
Kazakhstan,25350
Kenya,3161
Kiribati,2047
North Korea,1715
South Korea,37343
Kuwait,64111
Kyrgyz Republic,3503
Lao,6940
Latvia,27269
Lebanon,11683
Lesotho,2924
Liberia,1137
Libya,14751
Liechtenstein,NA
Lithuania,32377
Luxembourg,94325
"Macedonia, FYR",13898
Madagascar,1487
Malawi,1182
Malaysia,29071
Maldives,14252
Mali,2097
Malta,39339
Marshall Islands,3627
Mauritania,3885
Mauritius,21830
Mexico,18002
"Micronesia, Fed. Sts.",3239
Moldova,6722
Monaco,61371
Mongolia,12760
Montenegro,17783
Morocco,7772
Mozambique,1170
Myanmar,6267
Namibia,9696
Nauru,13590
Nepal,2878
Netherlands,50536
New Zealand,36472
Nicaragua,4615
Niger,954
Nigeria,5300
Norway,66308
Oman,35758
Pakistan,4997
Palau,17428
Panama,23315
Papua New Guinea,3931
Paraguay,12015
Peru,12992
Philippines,8264
Poland,29912
Portugal,29275
Qatar,113331
Romania,25527
Russia,25654
Rwanda,2110
St. Kitts and Nevis,28989
St. Lucia,12452
St. Vincent and the Grenadines,11183
Samoa,6239
San Marino,57803
Sao Tome and Principe,3047
Saudi Arabia,48115
Senegal,3461
Serbia,16663
Seychelles,27788
Sierra Leone,1464
Singapore,90080
Slovak Republic,32095
Slovenia,33676
Solomon Islands,2152
Somalia,631
South Africa,12039
South Sudan,1855
Spain,35659
Sri Lanka,12143
Sudan,4506
Suriname,13912
Swaziland,9560
Sweden,47211
Switzerland,59044
Syria,2900
Taiwan,44120
Tajikistan,3150
Tanzania,2978
Thailand,17359
Timor-Leste,7054
Togo,1605
Tonga,5904
Trinidad and Tobago,28522
Tunisia,11146
Turkey,25039
Turkmenistan,17599
Tuvalu,3725
Uganda,1870
Ukraine,8480
United Arab Emirates,65650
United Kingdom,40392
United States,56657
Uruguay,20925
Uzbekistan,6493
Vanuatu,2888
Venezuela,9724
Vietnam,6970
Palestine,4671
Yemen,2343
Zambia,3700
Zimbabwe,2392
,NA
name,2019
Africa,4748
Asia,13432
Europe,32504
The Americas,29177
World,16229
