Country,Life_exp
Afghanistan,64.08
Albania,78.47
Algeria,78.12
Angola,65
Antigua and Barbuda,77.28
Argentina,76.96
Armenia,75.9
Australia,82.7
Austria,81.98
Azerbaijan,71.07
Bahamas,74.1
Bahrain,79.76
Bangladesh,73.66
Barbados,77.33
Belarus,74.47
Belgium,81.7
Belize,74.42
Benin,65.26
Bhutan,74.73
Bolivia,73.34
Bosnia and Herzegovina,77
Botswana,69.85
Brazil,75.93
Brunei,75.63
Bulgaria,75.11
Burkina Faso,62.5
Burundi,62.25
Cambodia,70.42
Cameroon,63.82
Canada,82.18
Cape Verde,76.2
Central African Republic,52.91
Chad,60.62
Chile,79.97
China,77.51
Colombia,80.49
Comoros,69.07
"Congo, Dem. Rep.",63.05
"Congo, Rep.",63.25
Costa Rica,79.84
Cote d'Ivoire,63.32
Croatia,78.83
Cuba,78.55
Cyprus,82.03
Czech Republic,79.48
Denmark,80.98
Djibouti,68.6
Dominican Republic,73.48
Ecuador,77.16
Egypt,70.97
El Salvador,74.46
Equatorial Guinea,66.28
Eritrea,63.42
Estonia,78.48
Ethiopia,69.14
Fiji,68.27
Finland,81.77
France,83.07
Gabon,69.05
Gambia,66.42
Georgia,73.18
Germany,80.92
Ghana,66.13
Greece,81.32
Grenada,74.12
Guatemala,73.11
Guinea,61.62
Guinea-Bissau,60.66
Guyana,69.49
Haiti,65.67
Honduras,74.35
"Hong Kong, China",84.45
Hungary,77.19
Iceland,83.01
India,69.46
Indonesia,71.91
Iran,77.76
Iraq,77.07
Ireland,82.28
Israel,83.28
Italy,83.49
Jamaica,74.87
Japan,84.53
Jordan,79.58
Kazakhstan,72.84
Kenya,66.65
Kiribati,62.89
North Korea,72.36
South Korea,83
Kuwait,83.32
Kyrgyz Republic,72.98
Lao,68.23
Latvia,75.41
Lebanon,78.06
Lesotho,56.09
Liberia,65.23
Libya,73.35
Lithuania,75.44
Luxembourg,81.96
"Macedonia, FYR",76.76
Madagascar,64.21
Malawi,64.2
Malaysia,75.05
Maldives,82.07
Mali,62.86
Malta,81.3
Mauritania,71.03
Mauritius,75.02
Mexico,75.63
"Micronesia, Fed. Sts.",67.47
Moldova,73.08
Mongolia,69.3
Montenegro,76.71
Morocco,74.42
Mozambique,59.86
Myanmar,69.1
Namibia,67.22
Nepal,71.53
Netherlands,81.79
New Zealand,81.92
Nicaragua,79.24
Niger,63.2
Nigeria,65.23
Norway,82.59
Oman,77.57
Pakistan,67.18
Panama,79.65
Papua New Guinea,58.94
Paraguay,76.38
Peru,80.79
Philippines,70
Poland,78.38
Portugal,81.84
Qatar,80.45
Romania,75.44
Russia,72.52
Rwanda,69.14
St. Lucia,75.83
St. Vincent and the Grenadines,72.53
Samoa,73.15
Sao Tome and Principe,67.3
Saudi Arabia,77.12
Senegal,68.62
Serbia,76.03
Seychelles,73.75
Sierra Leone,61.32
Singapore,85.14
Slovak Republic,77.73
Slovenia,81.41
Solomon Islands,68.86
Somalia,59.23
South Africa,66.93
South Sudan,59.74
Spain,83.33
Sri Lanka,77.8
Sudan,70.77
Suriname,72.27
Swaziland,61.82
Sweden,82.78
Switzerland,84.27
Syria,71.49
Taiwan,80.29
Tajikistan,70.77
Tanzania,67.73
Thailand,78.58
Timor-Leste,71.31
Togo,64.96
Tonga,71.98
Trinidad and Tobago,74.51
Tunisia,78.73
Turkey,79.48
Turkmenistan,70.35
Uganda,66.6
Ukraine,70.77
United Arab Emirates,73.63
United Kingdom,81.12
United States,78.6
Uruguay,77.32
Uzbekistan,70.69
Vanuatu,65
Venezuela,75.1
Vietnam,74.69
Palestine,77.17
Yemen,68.1
Zambia,64.04
Zimbabwe,62.04
